vina_rank	gene_symbol_clean	protein_accession	localization_scope	dockability_grade_internal	log2FC	p_value	fdr	vina_best_score_kcal_mol	receptor_pdb_file	selected_structure_label	selected_native_ligand_code
20	PBK	Q96KB5	nuclear	A	-1.515649743667331	1.642530655353331e-07	1.3129871365003362e-05	-7.459	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/PBK_receptor.pdb	PDB 5J0A	HC4
21	ATAD2	Q6PL18	nuclear	A	-1.2840742256960462	1.9873755015145546e-08	3.971613041710928e-06	-7.439	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/ATAD2_receptor.pdb	PDB 4QSP	ALY
22	GNL3L	Q9NVN8	nuclear	B	-1.3531748756064106	1.869458463038963e-07	1.3918301537566553e-05	-7.403	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/GNL3L_receptor.pdb	AF-Q9NVN8-F1	
23	KIF22	Q14807	nuclear	A	-2.504012828609386	5.0580516737078695e-09	1.621443758259742e-06	-7.208	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/KIF22_receptor.pdb	PDB 6NJE	ADP
24	RACGAP1	Q9H0H5	dual_nucleus_mitochondrion	A	-1.194307889018538	8.602709293531203e-05	0.0007474711026896	-6.62	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/RACGAP1_receptor.pdb	PDB 2OVJ	
25	UBE2C	O00762	nuclear	B	-2.6468587669523425	4.0194164720849117e-10	3.450559627500525e-07	-6.609	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/UBE2C_receptor.pdb	PDB 1I7K	
26	SKA1	Q96BD8	nuclear	B	-1.9376606857284804	2.5621934496344698e-05	0.0003118156579571	-6.575	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/SKA1_receptor.pdb	PDB 4C9Y	
27	BRCA1	P38398	nuclear	B	-1.4741421131854908	0.0005099511355214	0.0029466012866896	-6.492	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/BRCA1_receptor.pdb	PDB 1JNX	
28	FLVCR1	Q9Y5Y0	mitochondrial	A	-1.0818293596423656	0.0016744436568291	0.0073671640382159	-6.442	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/FLVCR1_receptor.pdb	PDB 8QCT	CHT
29	TOP2A	P11388	nuclear	A	-1.439696999903278	3.267965179354991e-09	1.24084637860109e-06	-6.417	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/TOP2A_receptor.pdb	PDB 6ZY5	EVP
30	POLE4	Q9NR33	nuclear	B	-1.0042237855889269	2.3610092560431348e-05	0.0002944089374448	-6.202	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/POLE4_receptor.pdb	AF-Q9NR33-F1	
31	HSBP1	O75506	nuclear	B	-1.4177128041037443	1.946278281768196e-07	1.4076225973093026e-05	-6.123	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/HSBP1_receptor.pdb	PDB 3CI9	
32	CDKN1A	P38936	nuclear	B	-1.1237564787034948	0.0060492700217705	0.0202014760533532	-5.992	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/CDKN1A_receptor.pdb	PDB 6P8H	
33	RRN3	Q9NYV6	nuclear	B	-1.157663756664686	9.145383115309266e-06	0.0001511481134014	-5.82	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/RRN3_receptor.pdb	PDB 7OBA	
34	CKS1B	P61024	nuclear	A	-1.1108911242395854	0.0022741585644466	0.0093200000746937	-5.787	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/CKS1B_receptor.pdb	PDB 2AST	BEN
35	RNF25	Q96BH1	nuclear	A	-1.0534818036054512	0.000559814751496	0.0031889662568995	-3.618	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/RNF25_receptor.pdb	PDB 5D1K	OXL
36	AEBP2	Q6ZN18	nuclear	A	-1.110249306345409	0.0019000007874762	0.0081287921014617	-2.945	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/AEBP2_receptor.pdb	PDB 6WKR	SAH
37	EIF1	P41567	nuclear	A	-1.1208473125375455	7.001543562450839e-08	8.300228998611554e-06	-0.798	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/EIF1_receptor.pdb	PDB 6ZP4	GTP
38	CCND3	P30281	nuclear	A	-1.3309767474534846	1.3244233306625649e-05	0.0001930455042812	-0.334	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/CCND3_receptor.pdb	PDB 7SJ3	6ZV
39	EIF1AD	Q8N9N8	nuclear	A	-1.0301607267632509	3.910246837819658e-06	8.22559958072091e-05	-0.12	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/EIF1AD_receptor.pdb	PDB 6ZXF	ATP
40	UBL5	Q9BZL1	nuclear	A	-1.2831558567316304	1.0630834624292964e-07	1.0465073192199032e-05	0.0	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/UBL5_receptor.pdb	PDB 6AHD	GTP
41	TELO2	Q9Y4R8	nuclear	A	-1.004371755530876	2.9800027870655417e-07	1.7819008791319465e-05	0.0	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/TELO2_receptor.pdb	PDB 7OLE	ADP
42	CDC34	P49427	nuclear	A	-1.0679174529223765	8.613568564184159e-07	3.1599729312277535e-05	0.0	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/CDC34_receptor.pdb	PDB 8RX0	759
43	CDC45	O75419	nuclear	A	-1.3905614213613149	2.0022278837903386e-06	5.316405087239102e-05	0.0	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/CDC45_receptor.pdb	PDB 6XTX	AGS
44	CDK4	P11802	nuclear	A	-1.747616383079511	1.9463240768400613e-08	3.971613041710928e-06	0.0	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/CDK4_receptor.pdb	PDB 5FWK	ATP
45	TIPIN	Q9BVW5	nuclear	A	-1.0923377149451667	3.881863538031288e-05	0.0004117160853046	0.0	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/TIPIN_receptor.pdb	PDB 7PFO	ANP
46	ZNF593	O00488	nuclear	A	-1.5870149139521894	1.1281549182297589e-07	1.0465073192199032e-05	0.0	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/ZNF593_receptor.pdb	PDB 8FL2	GTP
